Nome,Indirizzo,Città,CAP,Data ultima verifica,Note
"Caffè del Parco","Viale Cavriga","Villasanta","","",""
"Enoteca con cucina Arco del Re","Via Papina, 4","Arcore","","",""
"Caffè Velò","Via Pacini, 20","Seregno","","",""
"Trattoria Spotti","Via Marconi, 6","Seregno","","",""
"Caffetteria Moderno","Via Indipendenza, 61","Meda","","",""
"Wine Line","Via XX Settembre, 4","Monza","","",""
"Caffè The Flat","Via P.R. Giuliani","Monza","","",""
"Enoteca del Convegno","Via C. Cattaneo, 53","Lissone","","",""
"Enoteca Cà di Matt","Via Como, 52/a","Lissone","","",""
"Gastronomia Safràn","Via Garibaldi","Desio","","",""
"Officine Libra","Via Buonarroti, 72","Monza","","",""
"Abbigliamento Kids","Corso Italia, 22","Desio","","",""
"Parisi Caffè","Via A. Volta, 7","Villasanta","","",""
"Mi Casa Toasteria","Via Boiardo","Milano","","",""
"Biosballo","Via Marconi, 11","Sesto San Giovanni","","",""
"Il Gatto e la Volpe","Via Mascherpa, 14","Carate Brianza","","",""
"Trattoria La Mescita","Via San Simpliciano, 3","Carate Brianza","","",""
"Cinema MEXICO","Via Savona, 57","Milano","","",""
"Il Caffè della Vecchia Stazione","Via Lambro, 72","Macherio","","",""
"Il Panino","Via Laghetto, 7","Mialno","","",""
"Margy Bistro","Via Bligny, 15","Milano","","",""
"Via Venti Restaurant Winebar","Via Milano, 10","Muggiò","20835","",""
"Caffè Paren","Via Matteotti, 43","Agrate Brianza","20041","",""
"Mens@sana - Gastronomia vegana","Via C. Battisti, 16","Sesto S. Giovanni","","",""
"Variopinto di Stefano Brovelli","Via G. Deledda, 21"," Pessano con Bornago","","",""
"Bar La Cupola","P.zza Giovanni XXIII, 13","Varese","","",""
"L'Isola della Birra","Via Medardo Rosso","Milano","","",""
"FRUTTETO BRIGO Lino","Via Confalonieri, 49/b","Muggiò","","",""
"VICTORY54 Restaurant","Via Aliprandi, 17","Monza","","",""
"AL PERDUTO STILE Hair Stylist","Via Padre C. Vismara, 53","Agrate Brianza","20864","",""
"SCUOLA DI AGRARIA DEL PARCO DI MONZA","Viale Cavriga, 3","Monza","20052","",""
"Agriturismo FONDO BRUGAROLO","Via A. Manzoni, 15","Sulbiate","20884","",""
"Caffé Gilò","Largo Arienti, 66","Arcore","20043","",""
"DERBY GRILL HOTEL DE LA VILLE","Viale Regina Margherita, 15","Monza","20052","",""
"Osteria DEL DOSSO","Parco di Monza (ingresso dal parcheggio di via Deledda a Villasanta)","","","",""
"Osteria LA LIRA","Via Amati, 52","Monza","20052","",""
"LA FATA VERDE","Via Talete, 2/a","Agrate Brianza","20864","",""
"Osteria IL PORCO MAIALE","Piazza S. Eusebio, 9","Agrate Brianza","20864","",""
"L'ARCO DEL RE Enoteca con cucina","Via Papina, 4/a","Arcore","20862","",""
"Trattoria LA RAVA E LA FAVA","Cascina Campello, 1","Biassono","20853","",""
"LA VOLTA ROSSA","Via Increa, 70","Brugherio","20861","",""
"SAMSARA","Via Increa, 70","Brugherio","20861","",""
"Agriturismo CASCINA GALLINA","","Busnago","20874","",""
"TAVERNA DEI VIANDANTI","Viale Brianza, 25","Camparada","20857","",""
"LA PIANA","Via Zappelli, 15","Carate Brianza","20841","",""
"Ristorante DODICI24","Largo Kennedy, 1","Cavenago di Brianza","20873","",""
"Trattoria LA CA'","Via XXIV Maggio, 54","Lesmo","20855","",""
"Trattoria del Gallo","Via Stefano da Seregno, 53","Seregno","20831","",""
"Trattoria PIN DEL RUS","Via Cappelletta, 1 -","Usmate Velate","20865","",""
"RSA CLINICA S. MARTA Gruppo Segesta","Via Parenzo, 9","Milano","","",""
"BISTROT Caffé e Parole","Via Missori, 3","Monza","","",""
"GELATI E CAFFÉ FINO","Corso Matteotti, 36","Seregno","20831","",""
"IL GUSCIO Ristorante ed Enoteca","Via Matteo da Campione, 8","Monza","20052","",""
"IL TEMPIO D'ORO","Via delle Leghe, 23","Milano","","",""
"GUARDAROBA Negozio di abbigliamento","Via A. Volta, 17","Seregno","20831","",""
"OSTERIA GARIBALDI","Via Longoni, 150/152","Barlassina","20030","",""
"NO NAME Café Restaurant","Via Carnia, 2","Monza","20052","",""
"IL VECCHIO COTONIFICIO","P.zza Cesare Pavese, 5","Villasanta","20852","",""
"BAR DEL CORSO di E. Bertoncello","Corso Italia, 137","Desio","20832","",""
"AL MACALLE' CAFFE'","Via Pontiggia, 16","Seregno","20832","",""
"CAFFE' SAVOIA","Via Vittorio Emanuele, 4","Monza","20900","",""
"CERTO food for good","Viale Elvezia, 52","Monza ","20900","",""
"RARO ACCONCIATURE SNC di Tono Raffaella e Colombari Roberta","Via S. Michele Monte, 1/B","Robbiano di Giussano","20833","",""
"OSTERIA CRESPI Vini & Sfizi","Via Pietro Crespi, 14","Milano","20127","",""
"PASTICCERIA BORROMEO","Via Borromeo, 29","Cesano Maderno","20811","",""
"BFD di Marco Farina & C. Snc","Via G. Rossini, 102","Desio","20832","",""
"OASI DI SAN GERARDO - Cooperativa LA MERIDIANA","Via Gerardo dei Tintori, 18","Monza","20090","",""
"BARCELO' CAFFE' PUB","Via A. Grandi, 18","Arcore","20862","",""
"AGAPE snc","Piazza della Trivulziana, 5","Milano","20126","",""
"ZAN ZARA ZAN Café - La Maison du Mekong","Via A. Meucci, 39","Milano","20100","",""
"RIAD","Viale Piave, 17","Milano","20100","",""
"PASTICCERIA PODESTÁ","Strada Bobbiese, 26","Piacenza","29122","",""
"MINT Garden Café","Via Felice Casati, 12","Milano","20124","",""
"'GUSTO OSTERIA FORMAGGERIA","Via della Frezza, 16","Roma","00186","",""
"GIUSSANI ABBIGLIAMENTO OLTRE LA 46","Via Garibaldi, 31","Desio","20832","",""
"GELATERIA IL PISTACCHIO","C.so Italia, 14","Desio","20832","",""
"BAR CENTRALE","P.za Conciliazione","Desio","20832","",""
"Caffè Vergnano","Corso Italia, 49","Desio","20832","","INATTIVO PER CAMBIO GESTIONE"
"Ristorante P.I.E.R","Via Vismara, 87","Agrate Brianza","","","INATTIVO PER CAMBIO GESTIONE"
